image_id,condition,condition_confidence,detected_issues,visual_analysis_status,unusable_reason,evidence_bbox_or_mask_path,feature_summary_json
56d2557f-bfbe-4fea-8844-d994186c36e9,uncertain,1.0,"dirt,shadow",ok,,,outputs/synthetic/evidence/56d2557f-bfbe-4fea-8844-d994186c36e9_features.json
d6f0cf37-cb5d-48e0-9881-ee57c57d2f4f,shadow,1.0,shadow,ok,,outputs/synthetic/evidence/d6f0cf37-cb5d-48e0-9881-ee57c57d2f4f_shadow_mask.png,outputs/synthetic/evidence/d6f0cf37-cb5d-48e0-9881-ee57c57d2f4f_features.json
d97e5b8d-2a57-44f4-9742-e6e394ffd22c,dirt,1.0,dirt,ok,,outputs/synthetic/evidence/d97e5b8d-2a57-44f4-9742-e6e394ffd22c_dirt_mask.png,outputs/synthetic/evidence/d97e5b8d-2a57-44f4-9742-e6e394ffd22c_features.json
67edffee-9005-43ff-8b87-e99a194485c0,dirt,1.0,dirt,ok,,outputs/synthetic/evidence/67edffee-9005-43ff-8b87-e99a194485c0_dirt_mask.png,outputs/synthetic/evidence/67edffee-9005-43ff-8b87-e99a194485c0_features.json
69d01ed3-9c61-4f26-8bc8-560258b42262,clean,0.716869212962963,,ok,,,outputs/synthetic/evidence/69d01ed3-9c61-4f26-8bc8-560258b42262_features.json
f97fdf2f-0fd8-4c94-808a-3f309fd7ea2c,damage,1.0,damage,ok,,outputs/synthetic/evidence/f97fdf2f-0fd8-4c94-808a-3f309fd7ea2c_damage_mask.png,outputs/synthetic/evidence/f97fdf2f-0fd8-4c94-808a-3f309fd7ea2c_features.json
3d70dcc1-cc43-463f-8300-dfee919a8aed,dirt,1.0,dirt,ok,,outputs/synthetic/evidence/3d70dcc1-cc43-463f-8300-dfee919a8aed_dirt_mask.png,outputs/synthetic/evidence/3d70dcc1-cc43-463f-8300-dfee919a8aed_features.json
93828532-d2fe-4f73-9544-d7b36d849b14,dirt,1.0,dirt,ok,,outputs/synthetic/evidence/93828532-d2fe-4f73-9544-d7b36d849b14_dirt_mask.png,outputs/synthetic/evidence/93828532-d2fe-4f73-9544-d7b36d849b14_features.json
6801fc43-2442-41ed-9ebe-83b56608bc03,clean,0.5830439814814815,,ok,,,outputs/synthetic/evidence/6801fc43-2442-41ed-9ebe-83b56608bc03_features.json
b524868a-56da-4cbe-803f-1486720d1882,clean,0.9124710648148149,,ok,,,outputs/synthetic/evidence/b524868a-56da-4cbe-803f-1486720d1882_features.json
314919e0-308b-4029-b312-1f6827f15e6d,dirt,0.9419849537037037,dirt,ok,,outputs/synthetic/evidence/314919e0-308b-4029-b312-1f6827f15e6d_dirt_mask.png,outputs/synthetic/evidence/314919e0-308b-4029-b312-1f6827f15e6d_features.json
d79ddb1f-3688-45cf-a2a3-a6010938f1d9,uncertain,1.0,"dirt,shadow,damage",ok,,,outputs/synthetic/evidence/d79ddb1f-3688-45cf-a2a3-a6010938f1d9_features.json
895639f4-b445-4811-8a09-90491eca0294,shadow,1.0,shadow,ok,,outputs/synthetic/evidence/895639f4-b445-4811-8a09-90491eca0294_shadow_mask.png,outputs/synthetic/evidence/895639f4-b445-4811-8a09-90491eca0294_features.json
9105ca9f-7d37-4c22-9b57-393781b8028f,shadow,1.0,shadow,ok,,outputs/synthetic/evidence/9105ca9f-7d37-4c22-9b57-393781b8028f_shadow_mask.png,outputs/synthetic/evidence/9105ca9f-7d37-4c22-9b57-393781b8028f_features.json
32a8151e-fcd6-4ab9-a378-da6271fdbec6,clean,0.7296006944444444,,ok,,,outputs/synthetic/evidence/32a8151e-fcd6-4ab9-a378-da6271fdbec6_features.json
beed46f5-1282-4950-8a0a-6478f92e1ea1,glare,1.0,glare,ok,,outputs/synthetic/evidence/beed46f5-1282-4950-8a0a-6478f92e1ea1_glare_mask.png,outputs/synthetic/evidence/beed46f5-1282-4950-8a0a-6478f92e1ea1_features.json
c2098b07-b108-4513-b6d2-849bce06c99c,uncertain,1.0,"dirt,shadow",ok,,,outputs/synthetic/evidence/c2098b07-b108-4513-b6d2-849bce06c99c_features.json
